OS;Matrix Size;Process Count;Generations (GEN);Max Time (s);Rank
Linux;6x6;1;100;0,000125;0
Linux;6x6;2;100;0,001246;0
Linux;6x6;4;100;0,000544;0
Linux;6x6;6;100;0,957161;5
Linux;6x6;8;100;0,643859;5
Linux;6x6;10;100;0,630648;5
Linux;6x6;12;100;0,496293;5
Linux;6x6;16;100;3,107549;7
Linux;6x6;20;100;3,657639;7
Linux;6x6;24;100;3,51587;5
Linux;6x6;28;100;4,98329;25
Linux;6x6;32;100;7,233442;21
Windows;6x6;1;100;0,000189;0
Windows;6x6;2;100;0,000574;1
Windows;6x6;4;100;0,000869;3
Windows;6x6;6;100;0,002478;5
Windows;6x6;8;100;0,002319;7
Windows;6x6;10;100;0,001194;3
Windows;6x6;12;100;0,002416;7
Linux;10x10;1;100;0,000143;0
Linux;10x10;2;100;0,001264;0
Linux;10x10;4;100;0,000562;0
Linux;10x10;6;100;0,235828;5
Linux;10x10;8;100;0,612786;5
Linux;10x10;10;100;1,048239;9
Linux;10x10;12;100;0,269834;9
Linux;10x10;16;100;1,648659;15
Linux;10x10;20;100;2,92454;5
Linux;10x10;24;100;2,829469;23
Linux;10x10;28;100;5,693809;27
Linux;10x10;32;100;7,681399;7
Windows;10x10;1;100;0,000199;0
Windows;10x10;2;100;0,000468;1
Windows;10x10;4;100;0,001653;2
Windows;10x10;6;100;0,002551;5
Windows;10x10;8;100;0,003238;6
Windows;10x10;10;100;0,003428;9
Windows;10x10;12;100;0,001692;2
Linux;840x840;1;100;0,274095;0
Linux;840x840;2;100;0,279439;0
Linux;840x840;4;100;0,274577;0
Linux;840x840;6;100;0,39819;0
Linux;840x840;8;100;0,309592;5
Linux;840x840;10;100;0,883614;0
Linux;840x840;12;100;0,893163;0
Linux;840x840;16;100;1,230778;7
Linux;840x840;20;100;1,925685;18
Linux;840x840;24;100;5,904157;5
Linux;840x840;28;100;6,320633;7
Linux;840x840;32;100;6,208812;11
Windows;840x840;1;100;0,202072;0
Windows;840x840;2;100;0,215205;0
Windows;840x840;4;100;0,25712;0
Windows;840x840;6;100;0,249598;0
Windows;840x840;8;100;0,265299;0
Windows;840x840;10;100;0,280234;0
Windows;840x840;12;100;0,299479;0
Linux;1680x1680;1;100;1,100451;0
Linux;1680x1680;2;100;0,550311;0
Linux;1680x1680;4;100;0,551818;1
Linux;1680x1680;6;100;1,768876;1
Linux;1680x1680;8;100;1,226048;0
Linux;1680x1680;10;100;2,918494;0
Linux;1680x1680;12;100;3,50597;1
Linux;1680x1680;16;100;6,673433;0
Linux;1680x1680;20;100;8,786474;0
Linux;1680x1680;24;100;24,199109;1
Linux;1680x1680;28;100;27,362004;0
Linux;1680x1680;32;100;42,944927;0
Windows;1680x1680;1;100;0,798938;0
Windows;1680x1680;2;100;0,451197;1
Windows;1680x1680;4;100;0,546629;1
Windows;1680x1680;6;100;0,557969;0
Windows;1680x1680;8;100;0,587864;0
Windows;1680x1680;10;100;0,611096;1
Windows;1680x1680;12;100;0,652633;1
Linux;3360x3360;1;100;4,378651;0
Linux;3360x3360;2;100;2,196907;0
Linux;3360x3360;4;100;1,110846;0
Linux;3360x3360;6;100;1,980548;0
Linux;3360x3360;8;100;1,200676;1
Linux;3360x3360;10;100;2,031659;1
Linux;3360x3360;12;100;2,142985;8
Linux;3360x3360;16;100;30,086213;4
Linux;3360x3360;20;100;52,797121;0
Linux;3360x3360;24;100;88,900203;5
Linux;3360x3360;28;100;244,721612;8
Linux;3360x3360;32;100;205,163855;7
Windows;3360x3360;1;100;3,260657;0
Windows;3360x3360;2;100;1,733632;0
Windows;3360x3360;4;100;1,194823;1
Windows;3360x3360;6;100;0,825807;1
Windows;3360x3360;8;100;0,671684;3
Windows;3360x3360;10;100;0,585782;6
Windows;3360x3360;12;100;0,567779;3
Linux;13440x13440;1;100;72,531634;0
Linux;13440x13440;2;100;36,35436;1
Linux;13440x13440;4;100;18,218066;2
Linux;13440x13440;6;100;26,333301;1
Linux;13440x13440;8;100;19,446349;1
Linux;13440x13440;10;100;24,704526;9
Linux;13440x13440;12;100;20,930224;10
Linux;13440x13440;16;100;21,876018;5
Linux;13440x13440;20;100;28,896788;10
Linux;13440x13440;24;100;45,445516;3
Linux;13440x13440;28;100;32,748975;21
Linux;13440x13440;32;100;56,429784;17
Windows;13440x13440;1;100;54,2171;0
Windows;13440x13440;2;100;29,066921;1
Windows;13440x13440;4;100;19,378279;2
Windows;13440x13440;6;100;14,657219;4
Windows;13440x13440;8;100;11,824261;7
Windows;13440x13440;10;100;10,240159;1
Windows;13440x13440;12;100;10,229389;3
Linux;20000x20000;1;100;154,002015;0
Linux;20000x20000;2;100;77,144119;0
Linux;20000x20000;4;100;38,645497;3
Linux;20000x20000;6;100;25,746389;5
Linux;20000x20000;8;100;19,358368;0
Linux;20000x20000;10;100;15,53326;9
Linux;20000x20000;12;100;12,951661;7
Linux;20000x20000;16;100;9,729527;10
Linux;20000x20000;20;100;7,81863;9
Linux;20000x20000;24;100;6,528759;18
Linux;20000x20000;28;100;5,583013;10
Linux;20000x20000;32;100;4,899368;6
Windows;20k*20k;1;100;116,38681;0
Windows;20k*20k;1;100;117,222219;0
Windows;20k*20k;2;100;61,430938;0
Windows;20k*20k;2;100;65,337398;1
Windows;20k*20k;4;100;40,044937;1
Windows;20k*20k;4;100;42,181793;3
Windows;20k*20k;6;100;29,363963;1
Windows;20k*20k;6;100;30,502341;3
Windows;20k*20k;8;100;23,875588;3
Windows;20k*20k;8;100;24,527604;3
Windows;20k*20k;10;100;20,168616;1
Windows;20k*20k;10;100;20,293755;0
Windows;20k*20k;12;100;19,773899;6
Windows;20k*20k;12;100;23,094145;5
Linux;50000x50000;1;100;257,057678;0
Linux;50000x50000;2;100;128,600447;0
Linux;50000x50000;4;100;64,384635;2
Linux;50000x50000;6;100;42,908927;5
Linux;50000x50000;8;100;32,204643;5
Linux;50000x50000;10;100;25,789322;8
Linux;50000x50000;12;100;21,527496;7
Linux;50000x50000;16;100;16,158738;15
Linux;50000x50000;20;100;12,925678;17
Linux;50000x50000;24;100;10,785842;9
Linux;50000x50000;28;100;9,242876;27
Linux;50000x50000;32;100;8,104802;10
Windows;50k*50k;1;20;374,516012;0
Windows;50k*50k;2;20;140,343401;0
Windows;50k*50k;4;20;73,434615;0
Windows;50k*50k;6;20;56,17668;1
Windows;50k*50k;8;20;47,121617;0
Windows;50k*50k;10;20;38,743905;1
Windows;50k*50k;12;20;36,12824;4
Linux;100kx50k;12;100;12,085726;7
Linux;100kx50k;24;100;6,083042;9
Linux;100kx50k;32;100;4,556872;19
Windows;100k*50k;4;5;455,715791;1
Windows;100k*50k;10;5;354,573618;1
Windows;100k*50k;12;5;386,863302;3
Linux;100kx100k;12;100;24,105806;8
Linux;100kx100k;24;100;12,112872;11
Linux;100kx100k;32;100;9,089351;27
